,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
54,Sweat,0TzXhuxOpmvIa68QykPqIV,Sweat,Claudia Valentina,1LZNFyDqn3t4DnOFpfK84I,['uk pop'],183997,50,True,0.82,0.722,1,-5.103,1,0.0566,0.0371,0.000164,0.128,0.469,100.01,BBE
55,Villain,7IfFKp8J0FtzGkgh9Dvpch,Villain,NYNE,6UAsg7BxuQBh72q5RWkXem,['australian alternative pop'],186122,43,True,0.687,0.443,6,-9.387,0,0.0801,0.0407,0.0,0.332,0.378,147.103,BBE
56,Bitch Back (feat. FLETCHER),2pDWMxjBf4xkIY4nRjVpZC,Bitch Back,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",143795,68,True,0.802,0.816,9,-2.78,1,0.147,0.119,0.0,0.0819,0.67,89.982,BBE
57,We Not Humping - Remix,4ue41gFbAjoU0P1EberJWm,We Not Humping (Remix),Monaleo,2sflbTtCirog5VxD6jPAfb,['viral rap'],143325,69,True,0.971,0.851,11,-5.586,0,0.269,0.0344,0.0,0.092,0.81,120.008,BBE
58,It's Givin,5h9dlUlCGZahkuaC3MShz3,777,Latto,3MdXrJWsbVzdn6fe5JYkSQ,"['pop', 'rap', 'trap queen']",153000,65,True,0.865,0.614,8,-6.782,1,0.278,0.0259,0.0,0.434,0.642,160.032,BBE
59,Bad Girls,6nzXkCBOhb2mxctNihOqbb,Matangi,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,"['dance pop', 'indietronica', 'new rave']",227520,77,False,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,BBE
60,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,Have Mercy,Chlöe,1FtBEIWAwvw5ymBen5GICR,"['pop', 'post-teen pop', 'r&b', 'rap']",148778,74,True,0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022,BBE
61,Buttons - Showmusik TikTok Remix,2z1eSjh9SqVt5lCbLAVaBm,Buttons (Showmusik TikTok Remix),The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'urban contemporary']",143172,62,False,0.746,0.859,2,-5.85,1,0.114,0.177,0.0,0.305,0.43,110.025,BBE
62,Luxurious,3UQmoVQJqBYauTZLVPs3uo,Love Angel Music Baby (Deluxe Version),Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,"['dance pop', 'pop']",264920,66,False,0.811,0.726,0,-3.995,1,0.0813,0.154,0.0,0.116,0.666,131.027,BBE
63,Maneater,4wH4dJgrsxONID6KS2tDQM,Loose,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",258893,80,False,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,BBE
